seurat_clusters	tsne_1	tsne_2	n	dominant_state	top_patient
0	-1.50818075411601	6.09005390108599	755	Intestinal-like	NGCII540
1	-32.9517565698746	-2.12493744434541	665	Intestinal-like	NGCII522
2	18.3743498543791	-35.8578171802161	762	Diffuse/EMT-like	NGCII509
3	35.4658290060819	14.7870729526146	291	Intestinal-like	NGCII511
4	7.67637960899793	26.3137112062413	299	Intestinal-like	NGCII521
5	32.2237197167796	-21.1578482129509	517	Diffuse/EMT-like	NGCII509
6	25.461192349281	-0.167521164132458	338	Intestinal-like	NGCII541
7	-30.1450852928443	12.3613271826351	349	Intestinal-like	NGCII522
8	-12.3328118796886	-38.3326578536261	349	Intestinal-like	NGCII509
9	13.1820379882213	-9.89710944794551	222	Intestinal-like	NGCII541
10	-11.1788848424282	25.7368768338629	188	Diffuse/EMT-like	NGCII510
11	-25.6906299967941	32.6845000529909	199	Intestinal-like	NGCII499
12	-7.03721818419777	43.2324329136356	152	Intestinal-like	NGCII502
13	1.13772988044534	-26.615551087357	219	Intestinal-like	NGCII541
14	-6.81486774531883	-6.54616342347435	249	Intestinal-like	NGCII540
15	10.1059619860567	45.9487113757884	188	Intestinal-like	NGCII543
16	17.6937754843831	-20.191170126732	177	Diffuse/EMT-like	NGCII509
17	-57.0559528780357	0.400245630235444	162	Diffuse/EMT-like	NGCII541
18	-37.1084243390321	-18.5268427883455	157	Diffuse/EMT-like	NGCII541
19	-19.2115569493814	-16.6595408091596	83	Intestinal-like	NGCII522
20	-0.139090461446713	-14.4335143645162	74	Diffuse/EMT-like	NGCII541
21	-30.8681539837604	-32.9640437564202	107	Diffuse/EMT-like	NGCII540
22	23.048290419693	26.1561764385802	71	Diffuse/EMT-like	NGCII540
