pathway	pval	padj	log2err	ES	NES	size	leadingEdge	enriched_in	abs_NES
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.80500719697629e-22	9.02503598488145e-21	1.22950405660873	0.879202750442922	2.02585005918775	198	SPARC;CALD1;COL1A2;BGN;COL6A2;EFEMP2;COL5A2;COL1A1;MYL9;VIM;DCN;FN1;COL5A1;NNMT;THY1;COL3A1;FSTL1;PCOLCE;EMP3;SERPINE1;MMP2;LGALS1;LOX;LOXL2;COL6A3;VCAN;TGFBI;THBS2;IGFBP4;PLOD2;THBS1;CTHRC1;TPM2;CXCL12;FBLN1;ACTA2;MGP;TAGLN;IGFBP3;MXRA5;SERPINE2;GJA1;LUM;PFN2;PDLIM4;IGFBP2;VCAM1;FAP;SERPINH1;P3H1;TGFB1;TIMP3;GLIPR1;FERMT2;CALU;TIMP1;PPIB;PLOD1;DPYSL3;DAB2;HTRA1;ECM1;FBN1;FLNA;GPX7;SPOCK1;SLIT3;ITGB1;ITGA5;ENO2;CDH11;BMP1;SNAI2;PMP22;COL12A1;TPM4;POSTN;ABI3BP;MEST;PTX3;LRP1;IL6;CDH2;BASP1;SGCB;EDIL3;TFPI2;FSTL3;MMP14;COL4A1;TNC;LAMC1;NID2;COL4A2;LOXL1;SCG2;FBLN2;TPM1;ADAM12;PDGFRB;FAS;FBLN5;VEGFA;FMOD;GAS1;QSOX1;CDH6;RGS4;INHBA;WNT5A;CD59;MYLK;ITGAV;WIPF1;ECM2;SGCD;SPP1;VEGFC;GADD45B;SFRP1;NTM;ELN;PRRX1;SLIT2;APLP1;PCOLCE2;CAP2;NOTCH2;ID2;PLAUR;CADM1	Selected Diffuse/EMT clusters	2.02585005918775
HALLMARK_HYPOXIA	1.62412602309864e-08	4.06031505774659e-07	0.73376198835648	0.765383329207846	1.76140539454687	196	BGN;CAV1;DCN;COL5A1;SERPINE1;LOX;TGFBI;TMEM45A;CAVIN1;IGFBP3;LXN;SLC2A3;CAVIN3;P4HA1;PLIN2;BNIP3L;MT2A;LDHA;ANGPTL4;P4HA2;CA12;NR3C1;TPBG;ENO2;PGK1;DDIT4;AK4;STC1;TPI1;STC2;IL6;ACKR3;GPC3;SDC2;GAPDH;SRPX;HEXA;PAM;PNRC1;KDELR3;PGM1;ERRFI1;MIF;ADM;MT1E;ALDOA;GBE1;CSRP2;DUSP1;AKAP12;KLF7;VEGFA;HSPA5;ENO1;RORA;IDS;NAGK;WSB1;CITED2;ETS1;DTNA;UGP2;FAM162A;GLRX;CDKN1C;PLAUR;RBPJ;CP;VLDLR;TGFB3;PPP1R3C;SLC2A5;HMOX1;HDLBP;PIM1;IGFBP1;NDRG1;GAA;NDST1;JUN;MXI1;TGM2;CDKN1A;HAS1;CCNG2;F3;ALDOC;CHST2	Selected Diffuse/EMT clusters	1.76140539454687
HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.10745817203271e-06	3.40702158414621e-05	0.627256739718528	-0.649632430780328	-1.73979827066232	200	COX5B;COX6B1;COX4I1;SLC25A5;ATP5F1D;ATP5F1E;COX5A;COX6A1;COX6C;NDUFS7;CYCS;ATP5MC3;COX7B;COX7A2;COX8A;CYC1;MRPS12;UQCRC1;UQCRFS1;ECI1;ATP5MF;TIMM13;NDUFS8;ETFB;UQCRQ;ATP5ME;ATP5MG;NDUFB7;UQCR11;NDUFB3;ATP5MC1;COX17;NDUFA6;NDUFS6;NDUFA1;UQCR10;LRPPRC;UQCRH;ATP1B1;RETSAT;MDH2;COX7C;ATP5F1B;AIFM1;POR;CPT1A;NDUFB2;MRPL34;OGDH;NDUFA3;NDUFV1;NDUFA7;FDX1;ACAA1;ACADVL;AFG3L2;NDUFB1;TIMM10;UQCRB;ACO2;RHOT2;SDHB;MFN2;PDHA1;ALAS1;MRPS15;DLD;COX10;NDUFA4;CS;OPA1;NDUFB4;TIMM50;ECHS1;NDUFAB1;IDH1;ATP6V0B;GOT2;SLC25A3	Selected Intestinal clusters	1.73979827066232
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.72561726731697e-06	3.40702158414621e-05	0.627256739718528	0.7231984483234	1.66432374418602	196	SERPING1;C1S;C1R;CFH;VAMP5;CCL2;CFB;IFITM2;VCAM1;MT2A;IFITM3;TNFAIP6;B2M;LY6E;SSPN;ICAM1;ARID5B;LGALS3BP;IL6;UBE2L6;CD40;SOD2;TXNIP;FAS;CASP4;IFIT1;IFIT3;XAF1;CASP1;SOCS3;IFI44;IL18BP;BST2;IFI35;IFI44L;PIM1;MX1;HLA-A;ST3GAL5;PML;CDKN1A;PSMB9;LCP2;IFIT2;HIF1A;PTGS2;SAMD9L;HLA-B;STAT2;PDE4B;NAMPT;GBP4;EIF2AK2	Selected Diffuse/EMT clusters	1.66432374418602
HALLMARK_COAGULATION	6.15589847909656e-06	6.15589847909657e-05	0.610526878385931	0.762596943234917	1.68387437076225	130	SPARC;SERPING1;C1S;FN1;C1R;SERPINE1;MMP2;CFH;THBS1;PRSS23;C3;CFI;CFB;PLAT;TIMP3;ANXA1;TIMP1;HTRA1;CTSB;FBN1;CRIP2;BMP1;C2;ARF4;CLU;LRP1;PROS1;TFPI2;MMP14;GSN;CTSK;CPQ;SERPINB2;A2M;LAMP2;CTSO;KLF7;MMP11;PLAU;ISCU;FYN;DUSP14;APOC1;USP11	Selected Diffuse/EMT clusters	1.68387437076225
HALLMARK_MYOGENESIS	2.43737373087662e-05	0.000203114477573052	0.575610261071129	0.707737455236253	1.61645404544629	187	SPARC;IGFBP7;COL6A2;COL1A1;COL3A1;AEBP1;COL6A3;TPM2;TAGLN;IGFBP3;CNN3;CRYAB;SORBS3;PTGIS;TGFB1;FXYD1;HSPB8;PRNP;DES;ITGB1;PDLIM7;SSPN;COX7A1;MYL6B;SOD3;CLU;STC2;WWTR1;IGF1;GSN;CDH13;COL4A2;FHL1;HSPB2;ADAM12;SPHK1;MYLK;COL15A1;PKIA;GABARAPL2;SGCD;GADD45B;FST;PDE4DIP;EFS;MEF2C;GPX3;DMD;DTNA;MRAS;SPEG;TNNT1;KIFC3;ITGB5;EIF4A2;PPP1R3C;CD36;LSP1;CHRNB1;FGF2;APOD;GAA;TPD52L1;CFD;PFKM;CDKN1A;MYH11;APLNR;MAPRE3;MAPK12;SGCA	Selected Diffuse/EMT clusters	1.61645404544629
HALLMARK_G2M_CHECKPOINT	4.82431821729483e-05	0.000344594158378202	0.557332238758646	-0.616807167796282	-1.63705039888563	194	HMGA1;JPT1;CCND1;MKI67;CKS2;CDC20;TMPO;ODC1;UBE2C;CENPF;HMGB3;UBE2S;LBR;DDX39A;SLC12A2;TROAP;TPX2;NUSAP1;CDKN3;MYBL2;CKS1B;BIRC5;TOP2A;TOP1;SLC7A1;CCNB2;AURKA;ILF3;EZH2;CDK1;PLK1;NOLC1;GSPT1;CENPA;ORC6;PBK;GINS2;UPF1;NEK2;CCNA2;TACC3;PRC1;MCM5;AURKB;MAD2L1;KIF20B;SLC7A5;PTTG1;DBF4;E2F4;KNL1;BCL3;KMT5A;MCM2;CENPE;CDC6;CDC25B;CHAF1A;HMMR;KIF2C;STIL;NSD2;RACGAP1;TFDP1;E2F1;SFPQ;NUP50;CDC45;KIF23;POLE;INCENP;MCM3;DKC1;RPS6KA5;NUP98;SLC38A1;BUB1;KIF4A;TTK;CHMP1A;HNRNPU;KIF15;AMD1;KIF11;POLQ;E2F2;CUL4A;SMC1A;NCL;BARD1;SMC4;UCK2;KPNA2;HMGN2;TRAIP;KIF5B;RAD21;RAD54L;LIG3;EXO1;DTYMK;ATF5;CCNF;CCNT1;ESPL1;HNRNPD;SQLE;HIRA;HOXC10;SMARCC1;CTCF	Selected Intestinal clusters	1.63705039888563
HALLMARK_E2F_TARGETS	6.05250023347613e-05	0.000378281264592258	0.557332238758646	-0.608446882189473	-1.62261673394548	198	HMGA1;JPT1;MKI67;CKS2;CDC20;SNRPB;TMPO;HMGB3;UBE2S;LBR;DCTPP1;DDX39A;CENPM;UBE2T;TK1;CDKN3;MYBL2;CDCA3;ASF1B;CDCA8;CKS1B;BIRC5;TOP2A;TFRC;MCM7;CCNB2;AURKA;ILF3;EZH2;RAD51AP1;CDK1;PLK1;NOLC1;GSPT1;RRM2;NOP56;SHMT1;ORC6;TBRG4;DNMT1;TACC3;MCM5;AURKB;MAD2L1;MCM4;ATAD2;PTTG1;MELK;MCM2;CENPE;E2F8;CDC25B;CSE1L;SPAG5;DLGAP5;HMMR;HELLS;KIF2C;NCAPD2;RANBP1;RACGAP1;TIMELESS;WDR90;LIG1;WEE1;POLE;DEPDC1;HMGB2;SPC25;MCM3;DSCC1;POP7;TRIP13;KIF4A;GINS1;DEK;PNN;TCF19;SPC24;BUB1B;CIT;RNASEH2A;KIF18B;POLD1;SMC1A;BARD1;SMC4;KPNA2;RAD21;BRCA1;RFC3;CTPS1;ESPL1;ANP32E;HNRNPD;PCNA;NUP205	Selected Intestinal clusters	1.62261673394548
HALLMARK_ANGIOGENESIS	0.000340066196921758	0.00188925664956532	0.49849310876659	0.857356927797108	1.6031125377394	36	COL5A2;COL3A1;FSTL1;VCAN;LUM;TIMP1;STC1;POSTN;VTN;FGFR1;VEGFA;ITGAV;SPP1;LRPAP1;NRP1;THBD;KCNJ8	Selected Diffuse/EMT clusters	1.6031125377394
HALLMARK_UV_RESPONSE_DN	0.000408536184452695	0.00204268092226347	0.49849310876659	0.695654031365635	1.54385410623267	141	COL1A2;CAV1;COL5A2;COL1A1;COL3A1;EFEMP1;SERPINE1;GJA1;IGFBP5;DAB2;NR3C1;MAP1B;SNAI2;PMP22;SDC2;LAMC1;RBPMS;TFPI;MT1E;ATP2B4;PDGFRB;FBLN5;DUSP1;RUNX1;CELF2;AKT3;ADGRL2;RGS4;SYNE1;DLC1;LTBP1;NRP1;CITED2;FYN;CAP2;NOTCH2;PLPP3;CDON;PTPRM;VLDLR;SPOP;PTGFR;HAS2;LPAR1;MGMT;TGFBR2;AGGF1;BDNF;PIAS3;F3;PRKAR2B;KCNMA1;GRK5;ITGB3;ZMIZ1;MAGI2;MYC;COL11A1;NEK7;APBB2;PIK3CD;ATRX	Selected Diffuse/EMT clusters	1.54385410623267
