pathway	n_genes_total	n_genes_in_rank
HALLMARK_ADIPOGENESIS	200	195
HALLMARK_ALLOGRAFT_REJECTION	200	194
HALLMARK_ANDROGEN_RESPONSE	101	99
HALLMARK_ANGIOGENESIS	36	36
HALLMARK_APICAL_JUNCTION	200	194
HALLMARK_APICAL_SURFACE	44	43
HALLMARK_APOPTOSIS	161	159
HALLMARK_BILE_ACID_METABOLISM	112	109
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	73
HALLMARK_COAGULATION	138	130
HALLMARK_COMPLEMENT	200	198
HALLMARK_DNA_REPAIR	150	149
HALLMARK_E2F_TARGETS	200	198
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	198
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	195
HALLMARK_ESTROGEN_RESPONSE_LATE	200	194
HALLMARK_FATTY_ACID_METABOLISM	158	153
HALLMARK_G2M_CHECKPOINT	200	194
HALLMARK_GLYCOLYSIS	200	197
HALLMARK_HEDGEHOG_SIGNALING	36	35
HALLMARK_HEME_METABOLISM	201	192
HALLMARK_HYPOXIA	200	196
HALLMARK_IL2_STAT5_SIGNALING	200	199
HALLMARK_IL6_JAK_STAT3_SIGNALING	90	89
HALLMARK_INFLAMMATORY_RESPONSE	201	200
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	96
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	196
HALLMARK_KRAS_SIGNALING_DN	200	181
HALLMARK_KRAS_SIGNALING_UP	201	197
HALLMARK_MITOTIC_SPINDLE	199	197
HALLMARK_MTORC1_SIGNALING	200	196
HALLMARK_MYC_TARGETS_V1	200	195
HALLMARK_MYC_TARGETS_V2	58	57
HALLMARK_MYOGENESIS	200	187
HALLMARK_NOTCH_SIGNALING	32	32
HALLMARK_OXIDATIVE_PHOSPHORYLATION	201	201
HALLMARK_P53_PATHWAY	200	196
HALLMARK_PANCREAS_BETA_CELLS	40	38
HALLMARK_PEROXISOME	104	103
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	104
HALLMARK_PROTEIN_SECRETION	97	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	49
HALLMARK_SPERMATOGENESIS	135	111
HALLMARK_TGF_BETA_SIGNALING	54	54
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	198
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	109
HALLMARK_UV_RESPONSE_DN	144	141
HALLMARK_UV_RESPONSE_UP	158	156
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	42
HALLMARK_XENOBIOTIC_METABOLISM	200	190
