gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	comparison	direction	rank_metric
COL8A1	0	10.347144537681	0.575	0.001	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
GPC6	0	10.187546838033	0.527	0	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
PDPN	0	9.98247643116924	0.774	0	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
EFEMP1	0	9.96636256045485	0.835	0.007	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
LOXL2	0	9.91866488944606	0.801	0.005	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
CPXM1	0	9.78638336452389	0.644	0.002	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
MFAP4	0	9.7248958245382	0.63	0.002	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
OLFML3	0	9.43479789313452	0.67	0.002	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
COL1A2	0	9.39649884761266	0.951	0.025	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
LOX	0	9.38536035095241	0.809	0.007	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
DCN	0	9.34650009844911	0.898	0.012	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
CD248	0	9.33505177136154	0.589	0.001	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
COL6A3	0	9.31185965220232	0.798	0.008	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
EGFL6	0	9.27276380651838	0.538	0.001	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
VCAM1	0	9.25319661083113	0.612	0.003	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
CTHRC1	0	9.24985521224606	0.727	0.009	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
SPARC	0	9.14126150792595	0.996	0.044	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
IGFBP6	0	9.06880259312329	0.886	0.02	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
COL5A1	0	9.0648679942886	0.874	0.005	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
COL1A1	0	9.0550021844972	0.949	0.058	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
MXRA8	0	8.94933127197253	0.807	0.005	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
CCL2	0	8.92854599574171	0.657	0.011	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
FSTL1	0	8.91787460863823	0.846	0.007	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
FBLN1	0	8.91001803718187	0.714	0.009	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
ANTXR1	0	8.88315146821155	0.576	0.004	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Diffuse/EMT clusters	300
