gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	comparison	direction	rank_metric
S100A14	0	-7.461476763415	0.035	0.862	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
LAD1	0	-6.87842382767936	0.013	0.64	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
S100P	0	-6.82739541563315	0.052	0.926	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
REG4	0	-6.81777137133538	0.032	0.722	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
CRB3	0	-6.75055886995679	0.012	0.622	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
FXYD3	0	-6.68261543394309	0.032	0.826	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
RAB25	0	-6.62437812836527	0.019	0.689	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
CD24	0	-6.53313742080539	0.047	0.8	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
CLDN4	0	-6.41430534219578	0.063	0.893	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
MISP	0	-6.41173581611477	0.025	0.774	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
AGR2	0	-6.38111186847874	0.104	0.945	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
KRTCAP3	0	-6.33729029692014	0.015	0.674	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
SDCBP2	0	-6.31976534465081	0.032	0.653	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
MYH14	0	-6.29921580716065	0.023	0.665	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
PRSS3	0	-6.29527789707542	0.032	0.796	0	Diffuse_EMT_selected_clusters_vs_Intestinal_selected_clusters	Higher in selected Intestinal clusters	-300
