group	metric	median	mean	ci_2_5	ci_97_5
Primary normal epithelial	detection_pct	14.251781472684085	14.230700712589075	13.523604513064134	14.875296912114013
Primary normal epithelial	mean_log1p_cp10k_all_cells	0.10492311940743662	0.10487813025330327	0.09901150158083963	0.11058739594893577
Primary normal epithelial	n_kcnq1_positive	480.0	479.29	455.475	501.0
Primary normal epithelial	mean_log1p_cp10k_among_kcnq1_positive	0.7367117455291223	0.737004655655293	0.7116640224201293	0.7635589363787446
Primary normal epithelial	median_log1p_cp10k_among_kcnq1_positive	0.5815618670215598	0.5852439068376375	0.5623075796011341	0.6154113479948284
Tumor intestinal patient	detection_pct	10.985748218527316	11.015676959619952	10.049732779097388	12.070219714964368
Tumor intestinal patient	mean_log1p_cp10k_all_cells	0.08072641824003371	0.08080593294716322	0.07270424158088448	0.08972009621600681
Tumor intestinal patient	n_kcnq1_positive	370.0	371.008	338.475	406.525
Tumor intestinal patient	mean_log1p_cp10k_among_kcnq1_positive	0.7326449820999014	0.733553615766121	0.6940031407358903	0.7744609381650498
Tumor intestinal patient	median_log1p_cp10k_among_kcnq1_positive	0.5823126271401329	0.5838880577928197	0.5430952261086933	0.6342009610403985
Tumor diffuse patient	detection_pct	7.779097387173397	7.779097387173395	7.779097387173397	7.779097387173397
Tumor diffuse patient	mean_log1p_cp10k_all_cells	0.05332851898211106	0.053328518982111064	0.05332851898211105	0.05332851898211106
Tumor diffuse patient	n_kcnq1_positive	262.0	262.0	262.0	262.0
Tumor diffuse patient	mean_log1p_cp10k_among_kcnq1_positive	0.6855360760753819	0.6855360760753817	0.6855360760753818	0.6855360760753819
Tumor diffuse patient	median_log1p_cp10k_among_kcnq1_positive	0.4973203465165874	0.4973203465165873	0.4973203465165874	0.4973203465165874
