iteration	group	n_cells	detected_cells	detection_pct	mean_log1p_cp10k_all_cells	n_kcnq1_positive	mean_log1p_cp10k_among_kcnq1_positive	median_log1p_cp10k_among_kcnq1_positive
1	Primary normal epithelial	3368	480	14.251781472684085	0.1071977715136779	480	0.7521710301209733	0.606149080862711
1	Tumor intestinal patient	3368	370	10.985748218527316	0.08492899362379155	370	0.7730833797971081	0.6268160909807141
1	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753819	0.4973203465165874
2	Primary normal epithelial	3368	483	14.340855106888363	0.11009882888082782	483	0.7677284796493336	0.6087037851224872
2	Tumor intestinal patient	3368	360	10.688836104513063	0.08001797525820771	360	0.748612612971232	0.6052196490412542
2	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211105	262	0.6855360760753819	0.4973203465165874
3	Primary normal epithelial	3368	481	14.28147268408551	0.10454856471899085	481	0.7320573097163434	0.5753349797559112
3	Tumor intestinal patient	3368	408	12.114014251781473	0.09050748107799327	408	0.7471303830163758	0.5777876855275479
3	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211105	262	0.6855360760753819	0.4973203465165874
4	Primary normal epithelial	3368	489	14.519002375296914	0.10630143191938739	489	0.7321538296615475	0.5769044815473806
4	Tumor intestinal patient	3368	374	11.104513064133016	0.08290202919461499	374	0.7465615891108645	0.6000733785111263
4	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211105	262	0.6855360760753819	0.4973203465165874
5	Primary normal epithelial	3368	457	13.568883610451307	0.09903113010876877	457	0.7298399260532455	0.5760162923898698
5	Tumor intestinal patient	3368	402	11.935866983372922	0.0899447793357245	402	0.7535672059769158	0.6019186748501122
5	Tumor diffuse patient	3368	262	7.779097387173397	0.053328518982111044	262	0.6855360760753819	0.4973203465165874
6	Primary normal epithelial	3368	476	14.133016627078385	0.10679619072426685	476	0.7556503578977539	0.5988047415123167
6	Tumor intestinal patient	3368	364	10.807600950118765	0.07642053174602184	364	0.7070998651664879	0.533698861211366
6	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753819	0.4973203465165874
7	Primary normal epithelial	3368	490	14.548693586698338	0.11026976749896089	490	0.7579358712989801	0.5906287339877425
7	Tumor intestinal patient	3368	394	11.69833729216152	0.08484109961607099	394	0.7252406687993074	0.5742498151164828
7	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753818	0.4973203465165874
8	Primary normal epithelial	3368	493	14.637767220902612	0.10853643867442182	493	0.7414822017351983	0.5981767448865339
8	Tumor intestinal patient	3368	376	11.163895486935866	0.08425886456819437	376	0.7547442975151025	0.6118923710421622
8	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753819	0.4973203465165874
9	Primary normal epithelial	3368	470	13.954869358669834	0.10360303005091714	470	0.7424149047052955	0.5764603869686252
9	Tumor intestinal patient	3368	370	10.985748218527316	0.07970031824734003	370	0.7254883023163275	0.5813683070174231
9	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753818	0.4973203465165874
