gene	signature	method	patient_stratified	cells	patients	rho	p_value	FDR
KCNQ1	Intestinal	Pooled Spearman	FALSE	6573	20	0.241742086319057	4.86922153714105e-88	9.73844307428209e-88
KCNQ1	Intestinal	Within-patient rank permutation	TRUE	6565	19	0.10280944865733	0.000999000999000999	0.0011988011988012
KCNQ1	Diffuse/EMT	Pooled Spearman	FALSE	6573	20	-0.373355557261823	1.65850766930616e-216	9.95104601583697e-216
KCNQ1	Diffuse/EMT	Within-patient rank permutation	TRUE	6565	19	-0.12663798662369	0.000999000999000999	0.0011988011988012
KCNE2	Intestinal	Pooled Spearman	FALSE	6573	20	0.0396614557777953	0.00129914625098197	0.00129914625098197
KCNE2	Intestinal	Within-patient rank permutation	TRUE	6565	19	-0.00811183927042548	0.487512487512488	0.487512487512488
KCNE2	Diffuse/EMT	Pooled Spearman	FALSE	6573	20	-0.142821815421767	2.68386691865335e-31	3.22064030238402e-31
KCNE2	Diffuse/EMT	Within-patient rank permutation	TRUE	6565	19	-0.0515291855762772	0.000999000999000999	0.0011988011988012
KCNE3	Intestinal	Pooled Spearman	FALSE	6573	20	0.215747911347697	4.41969975284133e-70	6.62954962926199e-70
KCNE3	Intestinal	Within-patient rank permutation	TRUE	6565	19	0.144056574127286	0.000999000999000999	0.0011988011988012
KCNE3	Diffuse/EMT	Pooled Spearman	FALSE	6573	20	-0.311600989766147	5.76234005001252e-148	1.72870201500375e-147
KCNE3	Diffuse/EMT	Within-patient rank permutation	TRUE	6565	19	-0.148437711571662	0.000999000999000999	0.0011988011988012
