gene	detection_fraction_Diffuse.EMT.like	detection_fraction_Intestinal.like	mean_raw_count_Diffuse.EMT.like	mean_raw_count_Intestinal.like	raw_transcripts_Diffuse.EMT.like	raw_transcripts_Intestinal.like	expressing_cells_Diffuse.EMT.like	expressing_cells_Intestinal.like	in_state_signature	intestinal_detection_minus_diffuse	diffuse_detection_minus_intestinal	abs_detection_difference
SPARC	0.786100707449022	0.0539568345323741	72.7752808988764	0.166906474820144	174879	696	1889	225	FALSE	-0.732143872916648	0.732143872916648	0.732143872916648
COL1A1	0.745318352059925	0.0529976019184652	67.0832292967125	0.155395683453237	161201	648	1791	221	FALSE	-0.69232075014146	0.69232075014146	0.69232075014146
COL3A1	0.74240532667499	0.0664268585131895	49.5680399500624	0.307434052757794	119112	1282	1784	277	FALSE	-0.6759784681618	0.6759784681618	0.6759784681618
THY1	0.66541822721598	0.00959232613908873	6.29546400332917	0.015347721822542	15128	64	1599	40	FALSE	-0.655825901076891	0.655825901076891	0.655825901076891
SERPINE1	0.655430711610487	0.0534772182254197	17.8439450686642	0.136930455635492	42879	571	1575	223	FALSE	-0.601953493385067	0.601953493385067	0.601953493385067
MMP2	0.607573866000832	0.00911270983213429	5.04577611319184	0.0213429256594724	12125	89	1460	38	FALSE	-0.598461156168698	0.598461156168698	0.598461156168698
TGFBI	0.649604660840616	0.0553956834532374	10.7465667915106	0.103597122302158	25824	432	1561	231	FALSE	-0.594208977387378	0.594208977387378	0.594208977387378
COL6A3	0.573449854348731	0.00839328537170264	5.20099875156055	0.015347721822542	12498	64	1378	35	FALSE	-0.565056568977028	0.565056568977028	0.565056568977028
ACTA2	0.575530586766542	0.0388489208633094	12.7274240532668	0.0800959232613909	30584	334	1383	162	FALSE	-0.536681665903232	0.536681665903232	0.536681665903232
CTHRC1	0.536412817311694	0.0146282973621103	5.9217644610903	0.0302158273381295	14230	126	1289	61	FALSE	-0.521784519949583	0.521784519949583	0.521784519949583
VIL1	0.0337078651685393	0.511031175059952	0.0461922596754057	1.30263788968825	111	5432	81	2131	FALSE	0.477323309891413	-0.477323309891413	0.477323309891413
FAP	0.491468997086975	0.0345323741007194	1.60008322929671	0.0908872901678657	3845	379	1181	144	FALSE	-0.456936622986255	0.456936622986255	0.456936622986255
ITGA5	0.372034956304619	0.0278177458033573	0.90220557636288	0.0366906474820144	2168	153	894	116	FALSE	-0.344217210501262	0.344217210501262	0.344217210501262
CDHR5	0.0266333749479817	0.362589928057554	0.0362047440699126	1.22182254196643	87	5095	64	1512	FALSE	0.335956553109572	-0.335956553109572	0.335956553109572
POSTN	0.296296296296296	0.00479616306954436	4.5638784852268	0.0220623501199041	10967	92	712	20	FALSE	-0.291500133226752	0.291500133226752	0.291500133226752
MUC6	0.031210986267166	0.290407673860911	0.134831460674157	1.94916067146283	324	8128	75	1211	FALSE	0.259196687593745	-0.259196687593745	0.259196687593745
SPINK4	0.0129005409904286	0.202158273381295	0.0224719101123596	2.51247002398082	54	10477	31	843	FALSE	0.189257732390866	-0.189257732390866	0.189257732390866
TFF2	0.0794839783603829	0.258513189448441	0.461506450270495	4.11342925659472	1109	17153	191	1078	FALSE	0.179029211088058	-0.179029211088058	0.179029211088058
MUC5AC	0.124843945068664	0.285611510791367	1.07906783187682	4.50863309352518	2593	18801	300	1191	FALSE	0.160767565722703	-0.160767565722703	0.160767565722703
INHBA	0.149812734082397	0.00959232613908873	0.491052850603412	0.0189448441247002	1180	79	360	40	FALSE	-0.140220407943308	0.140220407943308	0.140220407943308
MUC2	0.0178942987931752	0.142925659472422	0.0553474823137745	1.77314148681055	133	7394	43	596	FALSE	0.125031360679247	-0.125031360679247	0.125031360679247
OLFM4	0.00832292967124428	0.0911270983213429	0.0270495214315439	1.46978417266187	65	6129	20	380	FALSE	0.0828041686500987	-0.0828041686500987	0.0828041686500987
APOA1	0.0903037869330004	0.164028776978417	0.205992509363296	2.25347721822542	495	9397	217	684	FALSE	0.0737249900454169	-0.0737249900454169	0.0737249900454169
MMP7	0.0137328339575531	0.0793764988009592	0.0491052850603412	0.79568345323741	118	3318	33	331	FALSE	0.0656436648434062	-0.0656436648434062	0.0656436648434062
APOA4	0.00416146483562214	0.047242206235012	0.00499375780274657	2.74748201438849	12	11457	10	197	FALSE	0.0430807413993899	-0.0430807413993899	0.0430807413993899
GUCA2A	0.00249687890137328	0.0443645083932854	0.00249687890137328	0.279856115107914	6	1167	6	185	FALSE	0.0418676294919121	-0.0418676294919121	0.0418676294919121
GUCA2B	0.000416146483562214	0.0302158273381295	0.000416146483562214	0.113669064748201	1	474	1	126	FALSE	0.0297996808545673	-0.0297996808545673	0.0297996808545673
ALPI	0.00124843945068664	0.0225419664268585	0.00124843945068664	0.0431654676258993	3	180	3	94	FALSE	0.0212935269761719	-0.0212935269761719	0.0212935269761719
CLCA1	0.000416146483562214	0.00311750599520384	0.00208073241781107	0.0652278177458034	5	272	1	13	FALSE	0.00270135951164162	-0.00270135951164162	0.00270135951164162
