signature	gene	available	source
epithelial	EPCAM	True	Broad lineage gate adapted from dataset2
epithelial	KRT7	True	Broad lineage gate adapted from dataset2
epithelial	KRT8	True	Broad lineage gate adapted from dataset2
epithelial	KRT18	True	Broad lineage gate adapted from dataset2
epithelial	KRT19	True	Broad lineage gate adapted from dataset2
epithelial	KRT20	True	Broad lineage gate adapted from dataset2
epithelial	MUC1	True	Broad lineage gate adapted from dataset2
epithelial	CDH1	True	Broad lineage gate adapted from dataset2
epithelial	TACSTD2	True	Broad lineage gate adapted from dataset2
epithelial	KRT17	True	Broad lineage gate adapted from dataset2
gastric_lineage	MUC5AC	True	Broad lineage gate adapted from dataset2
gastric_lineage	MUC6	True	Broad lineage gate adapted from dataset2
gastric_lineage	TFF1	True	Broad lineage gate adapted from dataset2
gastric_lineage	TFF2	True	Broad lineage gate adapted from dataset2
gastric_lineage	PGC	True	Broad lineage gate adapted from dataset2
gastric_lineage	PGA3	True	Broad lineage gate adapted from dataset2
gastric_lineage	LIPF	True	Broad lineage gate adapted from dataset2
intestinal_lineage	CDH17	True	Broad lineage gate adapted from dataset2
intestinal_lineage	REG4	True	Broad lineage gate adapted from dataset2
intestinal_lineage	MUC13	True	Broad lineage gate adapted from dataset2
intestinal_lineage	TFF3	True	Broad lineage gate adapted from dataset2
intestinal_lineage	CDX1	True	Broad lineage gate adapted from dataset2
intestinal_lineage	CDX2	True	Broad lineage gate adapted from dataset2
intestinal_lineage	KRT20	True	Broad lineage gate adapted from dataset2
immune	PTPRC	True	Broad lineage gate adapted from dataset2
immune	CD3D	True	Broad lineage gate adapted from dataset2
immune	CD3E	True	Broad lineage gate adapted from dataset2
immune	MS4A1	True	Broad lineage gate adapted from dataset2
immune	CD79A	True	Broad lineage gate adapted from dataset2
immune	NKG7	True	Broad lineage gate adapted from dataset2
immune	LST1	True	Broad lineage gate adapted from dataset2
immune	TYROBP	True	Broad lineage gate adapted from dataset2
immune	FCER1G	True	Broad lineage gate adapted from dataset2
immune	CD68	True	Broad lineage gate adapted from dataset2
fibroblast	COL1A1	True	Broad lineage gate adapted from dataset2
fibroblast	COL1A2	True	Broad lineage gate adapted from dataset2
fibroblast	COL3A1	True	Broad lineage gate adapted from dataset2
fibroblast	DCN	True	Broad lineage gate adapted from dataset2
fibroblast	LUM	True	Broad lineage gate adapted from dataset2
fibroblast	COL6A1	True	Broad lineage gate adapted from dataset2
fibroblast	COL6A2	True	Broad lineage gate adapted from dataset2
fibroblast	PDGFRA	True	Broad lineage gate adapted from dataset2
fibroblast	PDGFRB	True	Broad lineage gate adapted from dataset2
fibroblast	COL5A1	True	Broad lineage gate adapted from dataset2
fibroblast	SPARC	True	Broad lineage gate adapted from dataset2
fibroblast	FN1	True	Broad lineage gate adapted from dataset2
fibroblast	S100A4	True	Broad lineage gate adapted from dataset2
fibroblast	VIM	True	Broad lineage gate adapted from dataset2
endothelial	PECAM1	True	Broad lineage gate adapted from dataset2
endothelial	VWF	True	Broad lineage gate adapted from dataset2
endothelial	EMCN	True	Broad lineage gate adapted from dataset2
endothelial	KDR	True	Broad lineage gate adapted from dataset2
endothelial	ENG	True	Broad lineage gate adapted from dataset2
endothelial	RAMP2	True	Broad lineage gate adapted from dataset2
endothelial	PLVAP	True	Broad lineage gate adapted from dataset2
pericyte	RGS5	True	Broad lineage gate adapted from dataset2
pericyte	CSPG4	True	Broad lineage gate adapted from dataset2
pericyte	MCAM	True	Broad lineage gate adapted from dataset2
pericyte	ACTA2	True	Broad lineage gate adapted from dataset2
pericyte	TAGLN	True	Broad lineage gate adapted from dataset2
pericyte	MYL9	True	Broad lineage gate adapted from dataset2
emt	VIM	True	Broad lineage gate adapted from dataset2
emt	ZEB1	True	Broad lineage gate adapted from dataset2
emt	ZEB2	True	Broad lineage gate adapted from dataset2
emt	SNAI1	True	Broad lineage gate adapted from dataset2
emt	SNAI2	True	Broad lineage gate adapted from dataset2
emt	TWIST1	True	Broad lineage gate adapted from dataset2
emt	COL1A1	True	Broad lineage gate adapted from dataset2
emt	COL1A2	True	Broad lineage gate adapted from dataset2
emt	S100A4	True	Broad lineage gate adapted from dataset2
malignant_support	CEACAM5	True	Broad lineage gate adapted from dataset2
malignant_support	CEACAM6	True	Broad lineage gate adapted from dataset2
malignant_support	MSLN	True	Broad lineage gate adapted from dataset2
malignant_support	MKI67	True	Broad lineage gate adapted from dataset2
malignant_support	TOP2A	True	Broad lineage gate adapted from dataset2
malignant_support	CLDN18	True	Broad lineage gate adapted from dataset2
malignant_support	MUC16	True	Broad lineage gate adapted from dataset2
malignant_support	SOX9	True	Broad lineage gate adapted from dataset2
malignant_support	MYC	True	Broad lineage gate adapted from dataset2
malignant_support	ERBB2	True	Broad lineage gate adapted from dataset2
