seurat_clusters	cells	tumor_fraction	dominant_patient_fraction	median_features	median_counts
1	2379	0.952080706179067	0.402269861286255	1082	2462
5	1800	0.946666666666667	0.298888888888889	1352.5	8845
9	1373	0.972323379461034	0.337217771303715	4118	21934
17	616	0.831168831168831	0.11038961038961	2657	8123.5
12	1019	0.915603532875368	0.15603532875368	1494	4233
3	2144	0.898787313432836	0.300839552238806	763	1479.5
10	1112	0.798561151079137	0.14658273381295	1379.5	2921
15	753	0.674634794156706	0.183266932270916	2513	7361
0	2470	0.95668016194332	0.191902834008097	1408.5	3442.5
2	2354	0.693288020390824	0.14570943075616	1507.5	4519
20	357	0.980392156862745	0.148459383753501	3372	11671
11	1074	0.58659217877095	0.379888268156425	930	2159
21	195	0.928205128205128	0.256410256410256	1166	3081
13	996	0.992971887550201	0.429718875502008	2820.5	10033.5
19	545	0.807339449541285	0.159633027522936	3291	10736
8	1461	0.737166324435318	0.158795345653662	2041	8395
4	2011	0.105420188960716	0.573843858776728	2035	10313
22	181	0.187845303867403	0.718232044198895	3155	14125
23	179	0.195530726256983	0.614525139664805	2465	7003
18	568	0.977112676056338	0.85387323943662	2185.5	8942
7	1685	0.996439169139466	0.945994065281899	2995	11353
16	745	0.991946308724832	0.91006711409396	3412	15195
6	1744	1	0.965022935779816	2944	14048.5
14	984	1	0.997967479674797	3894.5	19182.5
24	100	1	1	3698	18014
