row_index	gene
1	AL627309.1
2	AL669831.5
3	FAM87B
4	LINC00115
5	FAM41C
6	AL645608.3
7	AL645608.1
8	SAMD11
9	NOC2L
10	KLHL17
11	PLEKHN1
12	PERM1
13	AL645608.8
14	HES4
15	ISG15
16	AL645608.2
17	AGRN
18	RNF223
19	C1ORF159
20	LINC01342
21	AL390719.2
22	TTLL10-AS1
23	TTLL10
24	TNFRSF18
25	TNFRSF4
26	SDF4
27	B3GALT6
28	C1QTNF12
29	UBE2J2
30	SCNN1D
31	ACAP3
32	PUSL1
33	INTS11
34	CPTP
35	TAS1R3
36	DVL1
37	MXRA8
38	AURKAIP1
39	CCNL2
40	MRPL20
41	AL391244.3
42	ANKRD65
43	AL391244.2
44	LINC01770
45	VWA1
46	ATAD3C
47	ATAD3B
48	ATAD3A
49	TMEM240
50	SSU72
51	AL645728.1
52	FNDC10
53	AL691432.2
54	MIB2
55	MMP23B
56	CDK11B
57	FO704657.1
58	SLC35E2B
59	CDK11A
60	SLC35E2A
61	NADK
62	GNB1
63	AL109917.1
64	CALML6
65	TMEM52
66	GABRD
67	PRKCZ
68	PRKCZ-AS1
69	FAAP20
70	SKI
71	MORN1
72	RER1
73	PEX10
74	PLCH2
75	PANK4
76	HES5
77	AL139246.5
78	TNFRSF14-AS1
79	TNFRSF14
80	AL139246.3
81	FAM213B
82	MMEL1
83	TTC34
84	LINC00982
85	PRDM16
86	AL008733.1
87	ARHGEF16
88	AL512413.1
89	MEGF6
90	TPRG1L
91	WRAP73
92	TP73
93	SMIM1
94	LRRC47
95	CEP104
96	DFFB
97	C1ORF174
98	LINC01134
99	AJAP1
100	NPHP4
101	KCNAB2
102	CHD5
103	RPL22
104	RNF207
105	ICMT
106	GPR153
107	ACOT7
108	AL031848.2
109	HES2
110	ESPN
111	TNFRSF25
112	PLEKHG5
113	NOL9
114	TAS1R1
115	ZBTB48
116	KLHL21
117	PHF13
118	THAP3
119	DNAJC11
120	CAMTA1-DT
121	CAMTA1
122	VAMP3
123	PER3
124	UTS2
125	TNFRSF9
126	PARK7
127	AL034417.4
128	AL034417.3
129	ERRFI1
130	AL034417.2
131	SLC45A1
132	RERE
133	ENO1
134	ENO1-AS1
135	SLC2A5
136	GPR157
137	MIR34AHG
138	LINC01759
139	H6PD
140	SPSB1
141	BX323043.1
142	AL928921.2
143	SLC25A33
144	TMEM201
145	PIK3CD
146	PIK3CD-AS2
147	CLSTN1
148	CTNNBIP1
149	LZIC
150	NMNAT1
151	RBP7
152	UBE4B
153	KIF1B
154	AL139424.2
155	PGD
156	CENPS-CORT
157	CENPS
158	CORT
159	DFFA
160	PEX14
161	CASZ1
162	AL139423.1
163	TARDBP
164	AL109811.4
165	MASP2
166	AL109811.3
167	SRM
168	EXOSC10
169	AL109811.1
170	AL109811.2
171	MTOR
172	UBIAD1
173	DISP3
174	FBXO2
175	FBXO44
176	FBXO6
177	MAD2L2
178	DRAXIN
179	AGTRAP
180	C1ORF167
181	MTHFR
182	CLCN6
183	NPPA-AS1
184	KIAA2013
185	PLOD1
186	MFN2
187	MIIP
188	TNFRSF8
189	TNFRSF1B
190	VPS13D
191	AC243836.1
192	DHRS3
193	AC254633.1
194	PDPN
195	PRDM2
196	KAZN
197	TMEM51-AS1
198	TMEM51
199	FHAD1
200	AL031283.2
201	AL031283.1
202	EFHD2
203	CTRC
204	CELA2A
205	CELA2B
206	CASP9
207	DNAJC16
208	AGMAT
209	AL121992.1
210	DDI2
211	PLEKHM2
212	SLC25A34
213	TMEM82
214	FBLIM1
215	UQCRHL
216	AL450998.2
217	SPEN
218	ZBTB17
219	SRARP
220	HSPB7
221	CLCNKA
222	CLCNKB
223	FAM131C
224	EPHA2
225	AL451042.2
226	AL451042.1
227	ARHGEF19
228	CPLANE2
229	FBXO42
230	SZRD1
231	SPATA21
232	NECAP2
233	LINC01772
234	AL137802.2
235	LINC01783
236	NBPF1
237	AL021920.3
238	CROCC
239	BX284668.2
240	BX284668.5
241	BX284668.6
242	MFAP2
243	ATP13A2
244	SDHB
245	PADI4
246	RCC2
247	ARHGEF10L
248	IGSF21
249	KLHDC7A
250	ALDH4A1
251	IFFO2
252	UBR4
253	AL035413.1
254	EMC1
255	MRTO4
256	AKR7A3
257	AKR7A2
258	PQLC2
259	CAPZB
260	MINOS1
261	NBL1
262	TMCO4
263	RNF186
264	OTUD3
265	PLA2G2A
266	PLA2G2D
267	UBXN10-AS1
268	UBXN10
269	CAMK2N1
