signature	gene	available	source	classifier_kcn_overlap
Zhou_malignant	S100A2	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	CAV1	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	CAV2	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	NDUFB9	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	SERPINA1	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	DCBLD2	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	MET	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	ITGB1	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPL36A	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	VIM	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	PCSK1N	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	HMGA1	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPL37A	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPS21	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPS8	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	MAL2	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPS4X	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPS16	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	S100A10	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	GAPDH	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	LY6D	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPS7	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	TATDN1	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPS2	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPS29	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	PDCD5	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPL39	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	NACA	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPS15A	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	EPCAM	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPL5	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
Zhou_malignant	RPL7A	TRUE	Zhou et al. 2023, Cellular and Molecular Life Sciences, Supplementary Table S4, DOI: 10.1007/s00018-023-04702-1	FALSE
