cohort	gene	state	cells	expressing_cells	detection_fraction	raw_transcripts	mean_raw_count_all_cells	mean_raw_count_expressing_cells
Original final	KCNQ1	Intestinal-like	4170	1070	0.256594724220624	1714	0.411031175059952	1.6018691588785
Original final	KCNQ1	Diffuse/EMT-like	2403	40	0.0166458593424886	46	0.0191427382438618	1.15
Original final	KCNE2	Intestinal-like	4170	172	0.0412470023980815	316	0.075779376498801	1.83720930232558
Original final	KCNE2	Diffuse/EMT-like	2403	19	0.00790678318768206	54	0.0224719101123596	2.84210526315789
Original final	KCNE3	Intestinal-like	4170	1174	0.281534772182254	2282	0.547242206235012	1.94378194207836
Original final	KCNE3	Diffuse/EMT-like	2403	138	0.0574282147315855	190	0.0790678318768206	1.3768115942029
Cluster-screened	KCNQ1	Intestinal-like	4167	1069	0.256539476841853	1712	0.410847132229422	1.60149672591207
Cluster-screened	KCNQ1	Diffuse/EMT-like	631	33	0.05229793977813	39	0.0618066561014263	1.18181818181818
Cluster-screened	KCNE2	Intestinal-like	4167	172	0.0412766978641709	316	0.0758339332853372	1.83720930232558
Cluster-screened	KCNE2	Diffuse/EMT-like	631	17	0.0269413629160063	52	0.0824088748019018	3.05882352941176
Cluster-screened	KCNE3	Intestinal-like	4167	1173	0.281497480201584	2280	0.5471562275018	1.94373401534527
Cluster-screened	KCNE3	Diffuse/EMT-like	631	64	0.101426307448494	114	0.180665610142631	1.78125
Orthogonal strict	KCNQ1	Intestinal-like	4000	1022	0.2555	1615	0.40375	1.58023483365949
Orthogonal strict	KCNQ1	Diffuse/EMT-like	419	18	0.0429594272076372	22	0.0525059665871122	1.22222222222222
Orthogonal strict	KCNE2	Intestinal-like	4000	159	0.03975	299	0.07475	1.88050314465409
Orthogonal strict	KCNE2	Diffuse/EMT-like	419	8	0.0190930787589499	13	0.0310262529832936	1.625
Orthogonal strict	KCNE3	Intestinal-like	4000	1110	0.2775	2098	0.5245	1.89009009009009
Orthogonal strict	KCNE3	Diffuse/EMT-like	419	46	0.109785202863962	88	0.210023866348449	1.91304347826087
