seurat_clusters	cells	patients	diffuse_emt_fraction	cnv_high_fraction	marker_supported_fraction	median_epithelial_core	median_fibroblast_core	median_mesothelial_core	epithelial_dominant_fraction	excluded_cluster_screen
0	755	12	0.0596026490066225	0.614569536423841	0.528476821192053	5	0	0	0.996026490066225	FALSE
1	665	5	0.00601503759398496	0.439097744360902	0.798496240601504	7	0	1	1	FALSE
2	762	1	1	0.00131233595800525	1	3	7	2	0	TRUE
3	291	1	0.151202749140893	0.116838487972509	0.945017182130584	6	1	0	1	FALSE
4	299	18	0.384615384615385	0.976588628762542	0.0301003344481605	4	0	0	1	FALSE
5	517	1	1	0	1	3	7	2	0	TRUE
6	338	4	0.0236686390532544	0.943786982248521	0.633136094674556	5	1	0	0.997041420118343	FALSE
7	349	6	0.0429799426934097	0.386819484240688	0.954154727793696	7	0	1	1	FALSE
8	349	1	0.0114613180515759	0.905444126074499	0.650429799426934	6	1	0	0.997134670487106	FALSE
9	222	1	0.108108108108108	0.95045045045045	0.954954954954955	4	1	0	1	FALSE
10	188	15	0.51063829787234	0.5	0.670212765957447	4	0	0	0.99468085106383	FALSE
11	199	6	0.0452261306532663	0.0753768844221106	0.944723618090452	7	0	1	1	FALSE
12	152	5	0.177631578947368	0.927631578947368	0.164473684210526	6	0	0.5	1	FALSE
13	219	1	0.0182648401826484	0.990867579908676	0.958904109589041	5	2	0	0.995433789954338	FALSE
14	249	3	0.00401606425702811	0.0923694779116466	0.963855421686747	5	1	0	1	FALSE
15	188	2	0.0106382978723404	0.680851063829787	0.718085106382979	7	0	1	1	FALSE
16	177	5	1	0.0169491525423729	0.988700564971751	3	6	2	0.259887005649718	TRUE
17	162	17	0.987654320987654	0.0246913580246914	0.975308641975309	3	6	0	0	TRUE
18	157	14	0.993630573248408	0.0191082802547771	0.987261146496815	3	6	0	0	TRUE
19	83	11	0.289156626506024	0.626506024096386	0.662650602409639	4	0	0	1	FALSE
20	74	1	0.554054054054054	1	0.121621621621622	3	1	0	0.986486486486486	FALSE
21	107	16	0.97196261682243	0.11214953271028	0.897196261682243	3	2	0	0.149532710280374	FALSE
22	71	13	0.901408450704225	0.323943661971831	0.71830985915493	2	0	0	0.845070422535211	FALSE
